case_number,name,n_stages,T_amb_c,water productivity (kg/m2/hr),total efficiency (%),absorber temp (C),top surface temp (C)
1,n=2_T=15C,2,15,1.68,109.88,51.28,15.24
2,n=2_T=20C,2,20,1.74,114.18,51.81,18.04
3,n=2_T=25C,2,25,1.81,118.45,52.34,20.71
4,n=2_T=30C,2,30,1.87,122.67,52.84,23.23
5,n=2_T=35C,2,35,1.94,126.84,53.34,25.58
6,n=2_T=40C,2,40,2.0,130.94,53.81,27.71
7,n=2_T=45C,2,45,2.06,134.95,54.27,29.57
8,n=4_T=15C,4,15,3.08,201.67,61.45,17.54
9,n=4_T=20C,4,20,3.23,211.54,62.31,20.44
10,n=4_T=25C,4,25,3.38,221.42,63.15,23.21
11,n=4_T=30C,4,30,3.53,231.25,63.96,25.83
12,n=4_T=35C,4,35,3.68,241.05,64.74,28.3
13,n=4_T=40C,4,40,3.83,250.8,65.5,30.56
14,n=4_T=45C,4,45,3.98,260.46,66.23,32.57
15,n=6_T=15C,6,15,4.18,273.64,67.72,18.95
16,n=6_T=20C,6,20,4.43,289.85,68.87,21.93
17,n=6_T=25C,6,25,4.68,306.13,69.99,24.78
18,n=6_T=30C,6,30,4.93,322.48,71.07,27.49
19,n=6_T=35C,6,35,5.18,338.83,72.12,30.04
20,n=6_T=40C,6,40,5.43,355.24,73.13,32.4
21,n=6_T=45C,6,45,5.68,371.7,74.12,34.53
22,n=8_T=15C,8,15,5.0,327.32,71.87,19.88
23,n=8_T=20C,8,20,5.35,350.16,73.31,22.93
24,n=8_T=25C,8,25,5.7,373.25,74.71,25.85
25,n=8_T=30C,8,30,6.06,396.58,76.06,28.64
26,n=8_T=35C,8,35,6.42,420.13,77.36,31.27
27,n=8_T=40C,8,40,6.78,443.87,78.62,33.72
28,n=8_T=45C,8,45,7.15,467.95,79.86,35.94
29,n=10_T=15C,10,15,5.58,365.12,74.66,20.5
30,n=10_T=20C,10,20,6.03,394.49,76.39,23.62
31,n=10_T=25C,10,25,6.48,424.45,78.07,26.62
32,n=10_T=30C,10,30,6.95,454.88,79.68,29.47
33,n=10_T=35C,10,35,7.42,485.83,81.24,32.18
34,n=10_T=40C,10,40,7.9,517.33,82.76,34.71
35,n=10_T=45C,10,45,8.39,549.52,84.24,37.01
36,n=12_T=15C,12,15,5.96,389.91,76.52,20.91
37,n=12_T=20C,12,20,6.5,425.43,78.54,24.1
38,n=12_T=25C,12,25,7.05,461.89,80.48,27.16
39,n=12_T=30C,12,30,7.62,499.21,82.35,30.09
40,n=12_T=35C,12,35,8.21,537.47,84.17,32.86
41,n=12_T=40C,12,40,8.81,576.71,85.93,35.46
42,n=12_T=45C,12,45,9.43,617.18,87.66,37.85
